COMPARATIVE METRICS REPORT (PSNR & SSIM)
======================================================================
 Patient |   HF PSNR   HF SSIM |   LF PSNR   LF SSIM |  Enh PSNR  Enh SSIM
----------------------------------------------------------------------
    0002 |    999.99    1.0000 |     23.46    0.5450 |     23.54    0.7289
    0003 |    999.99    1.0000 |     25.35    0.4785 |     25.08    0.6995
    0004 |    999.99    1.0000 |     25.48    0.7074 |     24.66    0.7987
    0005 |    999.99    1.0000 |     23.44    0.5854 |     23.26    0.7548
    0006 |    999.99    1.0000 |     23.50    0.5347 |     23.29    0.7253
    0009 |    999.99    1.0000 |     22.53    0.6974 |     22.54    0.8228
    0010 |    999.99    1.0000 |     21.37    0.5750 |     21.43    0.7208
    0011 |    999.99    1.0000 |     27.40    0.4959 |     26.20    0.5937
    0012 |    999.99    1.0000 |     24.15    0.5653 |     24.16    0.7430
    0013 |    999.99    1.0000 |     23.91    0.5686 |     23.77    0.7492
    0014 |    999.99    1.0000 |     24.28    0.6332 |     23.86    0.7682
    0015 |    999.99    1.0000 |     21.80    0.5177 |     22.01    0.6797
    0016 |    999.99    1.0000 |     24.35    0.6785 |     24.01    0.7956
    0019 |    999.99    1.0000 |     23.76    0.5940 |     23.78    0.7674
    0021 |    999.99    1.0000 |     23.83    0.5387 |     23.60    0.7122
    0022 |    999.99    1.0000 |     20.45    0.4238 |     20.26    0.6578
    0023 |    999.99    1.0000 |     20.45    0.5429 |     20.45    0.7114
    0024 |    999.99    1.0000 |     24.48    0.5109 |     24.74    0.7057
    0025 |    999.99    1.0000 |     24.55    0.6028 |     23.66    0.7402
    0026 |    999.99    1.0000 |     24.17    0.6349 |     23.87    0.7785
    0029 |    999.99    1.0000 |     22.31    0.5403 |     22.56    0.7252
    0030 |    999.99    1.0000 |     23.62    0.5529 |     23.60    0.7081
    0031 |    999.99    1.0000 |     22.08    0.5437 |     22.08    0.7261
    0032 |    999.99    1.0000 |     23.79    0.6248 |     23.73    0.7871
    0033 |    999.99    1.0000 |     22.52    0.5613 |     22.36    0.7375
    0034 |    999.99    1.0000 |     26.51    0.7016 |     25.41    0.8219
    0035 |    999.99    1.0000 |     21.12    0.5234 |     20.85    0.6837
    0036 |    999.99    1.0000 |     22.55    0.5309 |     22.58    0.7191
    0037 |    999.99    1.0000 |     24.59    0.5840 |     24.74    0.7467
    0038 |    999.99    1.0000 |     21.16    0.4152 |     20.14    0.6198
    0040 |    999.99    1.0000 |     24.45    0.6543 |     23.80    0.7829
    0041 |    999.99    1.0000 |     21.97    0.4646 |     22.48    0.6467
    0043 |    999.99    1.0000 |     25.54    0.6441 |     24.86    0.7772
    0044 |    999.99    1.0000 |     29.43    0.6218 |     28.77    0.7457
    0046 |    999.99    1.0000 |     24.00    0.6580 |     23.59    0.7483
    0047 |    999.99    1.0000 |     22.91    0.5853 |     22.60    0.7386
    0048 |    999.99    1.0000 |     23.40    0.4767 |     22.88    0.6690
    0050 |    999.99    1.0000 |     21.89    0.5359 |     21.84    0.7116
    0051 |    999.99    1.0000 |     23.87    0.5604 |     23.61    0.7169
    0052 |    999.99    1.0000 |     24.63    0.6674 |     24.16    0.7955
    0053 |    999.99    1.0000 |     23.13    0.6715 |     23.04    0.7890
    0056 |    999.99    1.0000 |     28.39    0.5803 |     27.45    0.7157
    0057 |    999.99    1.0000 |     20.58    0.4828 |     20.70    0.6330
    0058 |    999.99    1.0000 |     24.48    0.6508 |     23.41    0.7770
    0061 |    999.99    1.0000 |     22.41    0.6145 |     22.35    0.7913
    0062 |    999.99    1.0000 |     21.64    0.4353 |     21.24    0.6342
    0063 |    999.99    1.0000 |     23.72    0.5788 |     23.17    0.7563
    0064 |    999.99    1.0000 |     20.91    0.5611 |     20.72    0.7310
